groupA,groupB,Df,SumsOfSqs,F.Model,R2,p.value,p.adjusted,sig,Metric,WindowGroup,Factor
5MAP , 6HOL,1,2.9797515236603545,7.716983033804566,0.13370385332311574,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
5MAP , 6HOP,1,2.0498410177008157,5.587472953389314,0.14114245079417068,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
5MAP , 6MAP,1,0.6551856070761582,1.7670757983271537,0.059363432615925936,0.04,0.04221105527638191,.,Dice-Sorensen,windows456,WindowSite
5MAP , 6PEN,1,1.4411192746352863,4.160249347092083,0.15902942253700378,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
5PEN , 4EPS,1,0.9998297720307991,3.385221746947399,0.0817978400030464,0.002,0.002658227848101266,*,Dice-Sorensen,windows456,WindowSite
5PEN , 4FOX,1,0.6385419407886361,2.0314620154297525,0.06546459249711307,0.018,0.019894736842105264,.,Dice-Sorensen,windows456,WindowSite
5PEN , 4HOL,1,1.5163351165329335,4.627113618619283,0.12297285583791409,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
5PEN , 5EPS,1,1.1057384350922883,4.075525031848482,0.0968621313403355,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
5PEN , 5FOX,1,1.0022438260026076,2.839421923134127,0.06628058446327408,0.003,0.003772455089820359,*,Dice-Sorensen,windows456,WindowSite
5PEN , 5HOL,1,2.473909715450261,7.5943305863122355,0.12329593509698569,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
5PEN , 6EPS,1,1.464938231464767,4.547557108427782,0.13972038187929775,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
5PEN , 6FOX,1,1.4553974733522503,4.412470230381447,0.13613495667002481,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
5PEN , 6HOL,1,3.658550371228551,9.900514116701393,0.15023424702224397,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
5PEN , 6HOP,1,2.684881182719548,7.74820148274135,0.1622721116635555,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
5PEN , 6PEN,1,1.4535525632185484,4.5180726487573315,0.13894035779915723,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
6CNA , 4EPS,1,1.9919905916135192,7.204808249399415,0.2385318320814923,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
6CNA , 4FOX,1,1.0487776482758302,3.4538473470593782,0.19788458546598217,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
6CNA , 4HOL,1,1.4701409190928754,4.447470466522903,0.19812791259289775,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
6CNA , 4MAP,1,2.219353566438791,7.200595443781797,0.1434364548891763,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
6CNA , 4PEN,1,1.6485287596881677,6.536457154456726,0.29003925105255957,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
6CNA , 5EPS,1,2.191970488492141,9.258063511179902,0.28699997778760866,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
6CNA , 5FOX,1,1.2686936366345185,3.4271640925361204,0.12055947900325245,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
6CNA , 5HOL,1,2.1987685826856396,6.738007221376602,0.14731746376189855,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
6CNA , 5MAP,1,1.4665080056943527,4.5158408240698815,0.15299719398090997,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
6CNA , 5PEN,1,1.8429081097352968,6.00991112135647,0.16238653212783502,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
6CNA , 6EPS,1,0.5815286506681507,1.8192217497636674,0.12276095064119542,0.025,0.027061855670103094,.,Dice-Sorensen,windows456,WindowSite
6CNA , 6FOX,1,0.6092246017330967,1.8118612086023684,0.12232501932640873,0.019,0.02089005235602094,.,Dice-Sorensen,windows456,WindowSite
6CNA , 6HOL,1,2.264570590208503,5.8654802689237675,0.12515566329986239,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
6CNA , 6HOP,1,0.9436387608208184,2.6222753683736313,0.09493335843635925,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
6CNA , 6MAP,1,0.828703838337543,2.2803922995821164,0.10715931677758105,0.005,0.0060693641618497106,*,Dice-Sorensen,windows456,WindowSite
6CNA , 6PEN,1,0.792767046593127,2.487049392848048,0.16058897532777114,0.002,0.002658227848101266,*,Dice-Sorensen,windows456,WindowSite
6EPS , 4FOX,1,0.9251841397560194,2.7030423058052353,0.19725855364688638,0.008,0.009385474860335195,*,Dice-Sorensen,windows456,WindowSite
6EPS , 4HOL,1,1.2938248574785853,3.5519414468175,0.1914592851103904,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
6EPS , 5FOX,1,0.9885937795029801,2.4803495128745925,0.10132002043394596,0.003,0.003772455089820359,*,Dice-Sorensen,windows456,WindowSite
6EPS , 5HOL,1,1.5752683804571237,4.632966071212148,0.1140198838325646,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
6EPS , 6FOX,1,0.540995562140585,1.3925206205704674,0.12223112574895112,0.079,0.08092682926829269,,Dice-Sorensen,windows456,WindowSite
6EPS , 6HOL,1,1.4405704420814256,3.56778578862499,0.08583054692322133,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
6EPS , 6HOP,1,0.47198525354615134,1.2201402015735978,0.052546633697367194,0.189,0.1899043062200957,,Dice-Sorensen,windows456,WindowSite
6HOL , 4FOX,1,1.6741663358057766,4.22907977430383,0.097829511902256,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
6HOL , 5FOX,1,2.0553585353167794,5.02718095936481,0.09135814104446248,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
6HOL , 6FOX,1,1.1238004392699548,2.7446906760176595,0.06736314917303288,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
6HOL , 6HOP,1,2.394619494188837,5.931933428749156,0.10605629137254402,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
6HOP , 4FOX,1,1.3676867340664667,3.6552816903617513,0.1371316098934141,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
6HOP , 5FOX,1,1.5267712036688668,3.8143005258138096,0.10086926037968069,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
6HOP , 6FOX,1,0.6431446911509232,1.6215286423104618,0.06864621959334201,0.027,0.02892857142857143,.,Dice-Sorensen,windows456,WindowSite
6MAP , 4EPS,1,1.3414285573100684,4.045115495818811,0.1346347127998807,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
6MAP , 4FOX,1,0.8462161011439834,2.208372903181909,0.11496928523373719,0.008,0.009385474860335195,*,Dice-Sorensen,windows456,WindowSite
6MAP , 4HOL,1,1.109948217368516,2.8380503643138235,0.11905547311714965,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
6MAP , 4PEN,1,1.4132321738519733,4.26330220985298,0.18326298525440182,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
6MAP , 5EPS,1,1.563097576405779,5.272144494885745,0.16858915754076134,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
6MAP , 5FOX,1,0.6426442662692124,1.562298304246753,0.052847660495406144,0.066,0.06794117647058823,,Dice-Sorensen,windows456,WindowSite
6MAP , 5HOL,1,1.8216676337858724,5.10421175433075,0.10835998659634655,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
6MAP , 5PEN,1,1.34695597424397,3.891291867222243,0.10269620473374237,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
6MAP , 6EPS,1,0.4672310375978879,1.164704474273233,0.06785461852948957,0.278,0.278,,Dice-Sorensen,windows456,WindowSite
6MAP , 6FOX,1,0.655702456464171,1.5814030785494544,0.08994749005435619,0.047,0.0491044776119403,.,Dice-Sorensen,windows456,WindowSite
6MAP , 6HOL,1,1.7200072263506074,4.182979342466274,0.0868144602004631,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
6MAP , 6HOP,1,0.6509168917582151,1.6187136597829321,0.05465172047565538,0.041,0.043050000000000005,.,Dice-Sorensen,windows456,WindowSite
6MAP , 6PEN,1,0.7874648477135487,1.9665613004697289,0.10945674398018021,0.011,0.01262295081967213,.,Dice-Sorensen,windows456,WindowSite
6PEN , 4EPS,1,1.7990840342244014,6.138944392451021,0.23485816030979279,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
6PEN , 4FOX,1,1.1094311084989812,3.2514455757087593,0.22814847507475094,0.002,0.002658227848101266,*,Dice-Sorensen,windows456,WindowSite
6PEN , 4HOL,1,1.328663108791836,3.655409275023885,0.19594366551463424,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
6PEN , 5EPS,1,1.9630964037036787,7.935361605973659,0.2840615316852305,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
6PEN , 5FOX,1,1.092227677897115,2.744024413113189,0.11089644785748685,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
6PEN , 5HOL,1,1.674817875651998,4.930459608958405,0.12045942449860204,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
6PEN , 6EPS,1,0.4955491784237134,1.354806195110236,0.11931565997961827,0.12,0.12173913043478261,,Dice-Sorensen,windows456,WindowSite
6PEN , 6FOX,1,0.633792190204807,1.6363059133518039,0.14062073698786684,0.025,0.027061855670103094,.,Dice-Sorensen,windows456,WindowSite
6PEN , 6HOL,1,1.4027432417511108,3.476751913553365,0.08382411237986227,0.001,0.0014685314685314685,*,Dice-Sorensen,windows456,WindowSite
6PEN , 6HOP,1,0.7231871395071973,1.8721015187758805,0.07842214969232748,0.003,0.003772455089820359,*,Dice-Sorensen,windows456,WindowSite
4CNA , 4EPS,1,0.26112367446518625,1.7829061392060361,0.057918707582169215,0.06,0.06206896551724138,,Unweighted-UniFrac,windows456,WindowSite
4CNA , 4FOX,1,0.8690865233003422,5.49638562598515,0.21557508999955663,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4CNA , 4HOL,1,1.6107608016433177,9.763059650696128,0.28916394875648754,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4CNA , 4MAP,1,0.7706506430685096,4.362483841240337,0.08175188872802922,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4CNA , 4PEN,1,0.9679945833350048,7.219244600530136,0.2470715687290271,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4CNA , 5CNA,1,0.4062248240484715,2.6306735222916475,0.09188304704894291,0.005,0.005965909090909091,*,Unweighted-UniFrac,windows456,WindowSite
4CNA , 5EPS,1,0.4184161791365858,3.1708732934693025,0.09856348208343449,0.002,0.002658227848101266,*,Unweighted-UniFrac,windows456,WindowSite
4CNA , 5FOX,1,1.013440193482232,4.929891598645208,0.13720864103111005,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4CNA , 5HOL,1,2.7965270542209706,13.198903114068772,0.22678955113980698,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4CNA , 5MAP,1,0.5752775221599501,3.15946392004017,0.09249161308373527,0.003,0.003795180722891566,*,Unweighted-UniFrac,windows456,WindowSite
4CNA , 5PEN,1,1.1176220042543104,6.090758963752441,0.1413472194554738,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4CNA , 6CNA,1,1.5072311992137033,9.520385270891026,0.30203898807300017,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4CNA , 6EPS,1,1.2660322716179537,8.782195226983555,0.3161087579736614,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4CNA , 6FOX,1,1.6780836025966024,10.586719897957172,0.3578199927017979,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4CNA , 6HOL,1,3.721856692638663,14.667059102282035,0.23784268807038453,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4CNA , 6HOP,1,2.466214694058044,12.31670565355796,0.28434077494409565,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4CNA , 6MAP,1,1.0639993705794977,5.563215903915004,0.18202325047876855,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4CNA , 6PEN,1,1.8695629853499385,12.433148965677491,0.39554258401706766,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4EPS , 4FOX,1,0.7462486126481545,3.7157419336942428,0.1503390812083485,0.002,0.002658227848101266,*,Unweighted-UniFrac,windows456,WindowSite
4EPS , 4HOL,1,1.4468409751701847,7.212891619781843,0.22391319925319672,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4EPS , 5EPS,1,0.31911357443489585,1.9610177975892984,0.06135655034544022,0.043,0.04537688442211055,.,Unweighted-UniFrac,windows456,WindowSite
4EPS , 5FOX,1,0.7386543898017691,3.182220529890387,0.09044967833075832,0.004,0.004855491329479769,*,Unweighted-UniFrac,windows456,WindowSite
4EPS , 5HOL,1,2.523091561076387,10.960084990298157,0.1924169353357699,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4EPS , 6EPS,1,1.0323234954203226,5.441660205706375,0.21388777940229903,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4EPS , 6FOX,1,1.400778351170959,6.888869447982642,0.2561978093318269,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4EPS , 6HOL,1,3.302764162927456,12.212042068167131,0.20281727124188312,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4EPS , 6HOP,1,2.155981984990001,9.499861483923407,0.2289130889654547,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4FOX , 5FOX,1,0.5310501769689017,1.9256484001337912,0.07725569939931654,0.022,0.023814432989690718,.,Unweighted-UniFrac,windows456,WindowSite
4FOX , 6FOX,1,0.8321443127329329,3.0697653352777383,0.21818170112480706,0.002,0.002658227848101266,*,Unweighted-UniFrac,windows456,WindowSite
4HOL , 4FOX,1,0.6975475491975889,2.8400041653094608,0.15074328754867405,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4HOL , 5FOX,1,1.152869931025042,4.359511757512568,0.13901720764093822,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4HOL , 5HOL,1,1.3074836474757785,5.203609907495802,0.11262344907495202,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4HOL , 6FOX,1,1.204786897126137,4.782031895249016,0.24173613310154965,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4HOL , 6HOL,1,1.6663428222771566,5.644620849589908,0.116037924666803,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4HOL , 6HOP,1,1.7770485908814309,6.879214116251192,0.2030511715131954,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4HOP , 4CNA,1,0.8886494392168741,6.211618580751291,0.23697958833083443,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4HOP , 4EPS,1,0.8768899663182327,4.701969678808444,0.18294199773666647,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4HOP , 4FOX,1,0.5290459579042802,2.2421612411080463,0.15743124959408233,0.003,0.003795180722891566,*,Unweighted-UniFrac,windows456,WindowSite
4HOP , 4HOL,1,0.8305341763478389,3.662072248209192,0.1862505743026517,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4HOP , 4MAP,1,1.0241107315767761,5.043607394800243,0.1095397967312575,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4HOP , 4PEN,1,0.8308390182248466,4.441417301553492,0.2408392602871879,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4HOP , 5CNA,1,0.6310863300139724,3.0835400368615122,0.14625342952229037,0.004,0.004855491329479769,*,Unweighted-UniFrac,windows456,WindowSite
4HOP , 5EPS,1,1.1207403187541654,6.732563446165108,0.2427674404940772,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4HOP , 5FOX,1,0.6747900169028589,2.5688267293319025,0.10046713353432876,0.002,0.002658227848101266,*,Unweighted-UniFrac,windows456,WindowSite
4HOP , 5HOL,1,1.2044604926956897,4.842206223359937,0.11572540409345335,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4HOP , 5HOP,1,0.6039271242344924,2.305057272512196,0.09109077476841286,0.002,0.002658227848101266,*,Unweighted-UniFrac,windows456,WindowSite
4HOP , 5MAP,1,0.7508507860549943,3.250098056878686,0.12381279680694438,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4HOP , 5PEN,1,0.8718964849819466,3.915083913091052,0.11894497742823427,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4HOP , 6CNA,1,0.734688130110876,3.2632020572802545,0.18902646487324717,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4HOP , 6EPS,1,0.5290420600084613,2.416649513794271,0.180123175410493,0.009,0.010384615384615383,.,Unweighted-UniFrac,windows456,WindowSite
4HOP , 6FOX,1,0.7913149225176523,3.2470754958898054,0.22791172102840104,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4HOP , 6HOL,1,1.4079088561530266,4.735286942043374,0.10827154165739046,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4HOP , 6HOP,1,0.753326790870829,2.94855055668951,0.11363064577529464,0.004,0.004855491329479769,*,Unweighted-UniFrac,windows456,WindowSite
4HOP , 6MAP,1,0.5668858510737843,2.165410260806711,0.11298533302128043,0.01,0.01141304347826087,.,Unweighted-UniFrac,windows456,WindowSite
4HOP , 6PEN,1,0.7576182191306713,3.2991230416858874,0.23072205421745334,0.007,0.008258426966292134,*,Unweighted-UniFrac,windows456,WindowSite
4MAP , 4EPS,1,0.47199022698922927,2.430138579019026,0.04635003158262669,0.025,0.026785714285714288,.,Unweighted-UniFrac,windows456,WindowSite
4MAP , 4FOX,1,0.9463633441212279,4.498005763536823,0.09886160257031817,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4MAP , 4HOL,1,1.528328150758334,7.29822093590673,0.13955008039089803,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4MAP , 4PEN,1,1.362590781368019,6.963786105562058,0.13937666955120595,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4MAP , 5EPS,1,0.9079054113156662,4.886161381114191,0.08902355818229025,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4MAP , 5FOX,1,0.994881706145628,4.370691420565572,0.0775348201418552,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4MAP , 5HOL,1,3.378992522491442,14.869293091609942,0.18386822146158474,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4MAP , 5MAP,1,0.5353715168458463,2.50616047145159,0.045979398471191694,0.016,0.017684210526315792,.,Unweighted-UniFrac,windows456,WindowSite
4MAP , 5PEN,1,1.6731489926399847,7.919808157688118,0.12014307048259278,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4MAP , 6EPS,1,1.2864222439225055,6.273033260608004,0.13556563766370175,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4MAP , 6FOX,1,1.3920656374785283,6.569825618473802,0.1410747309276506,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4MAP , 6HOL,1,4.324089903768396,16.908079083748877,0.19913392537206775,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4MAP , 6HOP,1,2.686523139197645,11.969685269333082,0.18711496264108277,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4MAP , 6MAP,1,1.0022597650055558,4.500029068833061,0.08910943521833195,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4MAP , 6PEN,1,1.7367232198330853,8.348760982976968,0.1726778683308238,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4PEN , 4EPS,1,0.957245521620476,5.4972831057851055,0.19290551612862797,0.001,0.0014893617021276596,*,Unweighted-UniFrac,windows456,WindowSite
4PEN , 4FOX,1,0.5180271718673439,2.4836321362468023,0.15067262577313903,0.003,0.003795180722891566,*,Unweighted-UniFrac,windows456,WindowSite
